Temperature_C;Humidity_pct;Soil_moisture_pct;Reference_ET_mm;Evapotranspiration_mm;Crop_Coefficient;Crop_stage;Nitrogen_mg_kg;Phosphorus_mg_kg;Potassium_mg_kg;Solar_Radiation_ghi;Wind_Speed;Days_planted;pH;Irrigation;Fertilization;Energy
31.2;93.6;56.7;5.63;2.36;0.42;Initial Stage;107;38;53;622.0;2.09;1;3.32;SI;SI;SI
31.2;93.6;56.7;5.61;2.36;0.42;Initial Stage;107;38;53;622.0;2.09;1;3.77;SI;SI;SI
30.5;74.6;30.7;5.61;2.36;0.42;Initial Stage;107;38;53;622.0;2.09;3;2.9;SI;SI;SI
30.4;76.6;30.8;5.59;2.35;0.42;Initial Stage;107;38;53;622.0;2.09;3;7.71;SI;SI;SI
30.4;76.6;30.8;5.59;2.35;0.42;Initial Stage;107;38;53;622.0;2.09;3;5.11;SI;SI;SI
30.3;77.1;30.7;5.59;2.35;0.42;Initial Stage;107;38;53;622.0;2.09;3;4.48;SI;SI;SI
30.3;76.5;30.7;5.6;2.35;0.42;Initial Stage;107;38;53;622.0;2.09;3;4.32;SI;SI;SI
30.3;78.1;30.7;5.58;2.34;0.42;Initial Stage;107;38;53;622.0;2.09;3;3.77;SI;SI;SI
30.3;78.8;30.7;5.57;2.34;0.42;Initial Stage;107;38;53;622.0;2.09;3;3.68;SI;SI;SI
30.3;78.8;30.7;5.57;2.34;0.42;Initial Stage;107;38;53;622.0;2.09;3;3.67;SI;SI;SI
30.2;77.5;30.8;5.59;2.35;0.42;Initial Stage;107;38;53;622.0;2.09;3;3.95;SI;SI;SI
30.2;77.6;30.7;0.56;2.35;0.42;Initial Stage;107;38;53;622.0;2.09;3;2.17;SI;SI;SI
30.2;77.6;30.7;0.56;2.35;0.42;Initial Stage;107;38;53;622.0;2.09;3;3.28;SI;SI;SI
30.2;78.7;30.7;5.58;2.34;0.42;Initial Stage;107;38;53;622.0;2.09;3;3.24;SI;SI;SI
30.2;78.5;30.7;5.58;0.23;0.42;Initial Stage;107;38;53;622.0;2.09;3;2.51;SI;SI;SI
30.1;78.5;30.7;5.58;2.34;0.42;Initial Stage;107;38;53;622.0;2.09;3;3.89;SI;SI;SI
30.1;78.9;30.7;5.57;2.34;0.42;Initial Stage;107;38;53;622.0;2.09;3;3.15;SI;SI;SI
30.1;80.4;30.7;0.56;2.34;0.42;Initial Stage;107;38;53;622.0;2.09;3;3.02;SI;SI;SI
30.1;78.9;30.7;5.57;2.34;0.42;Initial Stage;107;38;53;622.0;2.09;3;3.22;SI;SI;SI
30.0;77.6;30.7;5.58;2.35;0.42;Initial Stage;107;38;53;622.0;2.09;3;3.2;SI;SI;SI
30.0;79.7;30.7;0.56;2.34;0.42;Initial Stage;107;38;53;622.0;2.09;3;3.18;SI;SI;SI
30.0;78.9;30.7;5.57;2.34;0.42;Initial Stage;107;38;53;622.0;2.09;3;3.31;SI;SI;SI
29.9;77.3;30.7;5.59;2.35;0.42;Initial Stage;118;42;57;622.0;2.09;3;3.4;SI;SI;SI
29.8;77.0;30.7;5.59;2.35;0.42;Initial Stage;118;42;57;622.0;2.09;3;3.54;SI;SI;SI
29.7;77.9;30.7;5.58;2.34;0.42;Initial Stage;118;42;57;622.0;2.09;3;3.33;SI;SI;SI
29.6;77.8;30.7;5.58;2.34;0.42;Initial Stage;118;42;57;622.0;2.09;3;2.87;SI;SI;SI
29.6;79.1;30.6;0.56;2.34;0.42;Initial Stage;118;42;57;622.0;2.09;3;3.6;SI;SI;SI
29.6;80.6;30.6;5.56;2.33;0.42;Initial Stage;118;42;57;622.0;2.09;3;3.75;SI;SI;SI
29.5;78.7;30.6;5.57;2.34;0.42;Initial Stage;118;42;57;622.0;2.09;3;1.75;SI;SI;SI
29.5;80.6;30.6;5.56;2.33;0.42;Initial Stage;105;37;53;622.0;2.09;3;3.53;SI;SI;SI
29.5;79.7;30.7;5.57;2.34;0.42;Initial Stage;105;37;53;622.0;2.09;3;3.66;SI;SI;SI
29.4;81.3;30.7;5.55;2.33;0.42;Initial Stage;105;37;53;622.0;2.09;3;3.59;SI;SI;SI
29.4;79.2;30.6;0.56;2.34;0.42;Initial Stage;105;37;53;622.0;2.09;3;3.61;SI;SI;SI
29.4;79.8;30.6;5.56;2.34;0.42;Initial Stage;105;37;53;622.0;2.09;3;3.58;SI;SI;SI
29.4;80.7;30.6;5.56;0.02;0.42;Initial Stage;105;37;53;622.0;2.09;3;3.53;SI;SI;SI
29.4;80.7;30.6;5.56;0.02;0.42;Initial Stage;105;37;53;622.0;2.09;3;3.53;SI;SI;SI
29.5;79.2;30.6;5.57;2.34;0.42;Initial Stage;105;37;53;622.0;2.09;3;3.55;SI;SI;SI
29.5;79.1;30.7;5.57;2.34;0.42;Initial Stage;105;37;53;622.0;2.09;3;3.51;SI;SI;SI
29.6;79.9;30.7;5.56;2.34;0.42;Initial Stage;105;37;53;622.0;2.09;3;3.5;SI;SI;SI
29.6;81.9;30.6;5.55;2.33;0.42;Initial Stage;105;37;53;622.0;2.09;3;3.51;SI;SI;SI
29.7;79.1;30.6;5.57;2.34;0.42;Initial Stage;105;37;53;622.0;2.09;3;3.56;SI;SI;SI
30.3;75.6;30.6;1.78;0.75;0.42;Initial Stage;105;37;53;196.0;2.54;3;3.53;SI;SI;SI
30.2;76.7;30.6;1.77;7.45;0.42;Initial Stage;117;42;58;196.0;2.54;3;3.55;SI;SI;SI
30.2;76.2;30.6;1.78;7.46;0.42;Initial Stage;117;42;58;196.0;2.54;3;3.53;SI;SI;SI
30.2;74.7;30.6;1.78;7.48;0.42;Initial Stage;117;42;58;196.0;2.54;3;3.53;SI;SI;SI
30.2;75.8;30.6;1.78;7.46;0.42;Initial Stage;117;42;58;196.0;2.54;3;3.49;SI;SI;SI
30.2;75.7;30.6;1.78;7.47;0.42;Initial Stage;117;42;58;196.0;2.54;3;3.52;SI;SI;SI
31.2;95.0;58.7;1.38;5.98;0.42;Initial Stage;117;42;58;171.0;1.08;5;3.49;SI;SI;SI
31.2;95.0;58.7;1.38;0.6;0.433333333;Initial Stage;117;42;58;171.0;1.08;5;3.49;SI;SI;SI
25.9;94.4;30.9;1.38;5.98;0.433333333;Initial Stage;106;38;53;171.0;1.08;5;3.47;SI;SI;SI
26.0;92.6;28.4;1.38;5.99;0.433333333;Initial Stage;106;38;53;171.0;1.08;5;3.52;SI;SI;SI
26.0;95.0;31.0;1.38;5.98;0.433333333;Initial Stage;106;38;53;171.0;1.08;5;3.47;SI;SI;SI
25.9;95.0;29.7;1.38;0.6;0.433333333;Initial Stage;106;38;53;171.0;1.08;5;3.44;SI;SI;SI
25.9;98.2;28.1;1.37;5.95;0.433333333;Initial Stage;106;38;53;171.0;1.08;5;4.81;SI;SI;SI
25.9;92.7;26.5;1.38;5.99;0.433333333;Initial Stage;106;38;54;171.0;1.08;5;3.63;SI;SI;SI
28.9;80.4;22.8;3.03;1.31;0.433333333;Initial Stage;107;37;50;35.0;1.85;5;3.59;SI;SI;SI
28.8;80.9;22.5;3.03;1.31;0.433333333;Initial Stage;107;37;50;35.0;1.85;5;3.6;SI;SI;SI
28.8;79.9;31.4;3.03;1.31;0.433333333;Initial Stage;107;37;50;35.0;1.85;5;3.57;SI;SI;SI
30.2;96.3;53.2;3.03;1.32;0.433333333;Initial Stage;107;37;50;35.0;1.85;5;3.62;SI;SI;SI
25.8;95.7;20.9;0.15;6.72;0.433333333;Initial Stage;44;15;22;195.0;1.21;6;3.59;SI;SI;SI
25.7;95.0;21.2;1.53;0.67;0.44;Initial Stage;44;15;22;195.0;1.21;6;3.59;SI;SI;SI
25.8;93.7;21.4;1.53;6.74;0.44;Initial Stage;44;15;22;195.0;1.21;6;3.58;SI;SI;SI
25.8;95.0;20.4;1.53;6.73;0.44;Initial Stage;44;15;22;195.0;1.21;6;3.66;SI;SI;SI
25.8;93.7;20.4;1.53;6.74;0.44;Initial Stage;44;15;22;195.0;1.21;6;3.6;SI;SI;SI
25.8;97.7;20.4;1.52;6.71;0.44;Initial Stage;44;15;22;195.0;1.21;6;3.6;SI;SI;SI
25.9;97.7;58.7;1.52;0.67;0.44;Initial Stage;44;15;22;195.0;1.21;6;3.67;SI;SI;SI
27.4;88.5;58.7;5.04;2.22;0.44;Initial Stage;107;37;50;642.0;0.65;6;3.6;SI;SI;SI
