Temperature [_ C] ;Humidity [%];Soil moisture %;Reference evapotranspiration (mm/giorno);Evapotranspiration (mm/giorno);Crop Coefficient;Crop Coefficient stage;Nitrogen [mg/kg];Phosphorus [mg/kg];Potassium;Solar Radiation ghi;Wind Speed;Days of planted;pH
31.2;93.6;56,70%;5,630000865;2,364600363;0.42;Initial Stage;107;38;53;622;2.09;1;3.32
31.2;93.6;56,70%;5,611765782;2,356941629;0.42;Initial Stage;107;38;53;622;2.09;1;3.77
30.5;74.6;30,70%;5,612671696;2,357322112;0.42;Initial Stage;107;38;53;622;2.09;3;2.9
30.4;76.6;30,80%;5,594477782;2,349680669;0.42;Initial Stage;107;38;53;622;2.09;3;7.71
30.4;76.6;30,80%;5,594477782;2,349680669;0.42;Initial Stage;107;38;53;622;2.09;3;5.11
30.3;77.1;30,70%;5,589842386;2,347733802;0.42;Initial Stage;107;38;53;622;2.09;3;4.48
30.3;76.5;30,70%;5,595170765;2,349971721;0.42;Initial Stage;107;38;53;622;2.09;3;4.32
30.3;78.1;30,70%;5,581007617;2,344023199;0.42;Initial Stage;107;38;53;622;2.09;3;3.77
30.3;78.8;30,70%;5,574856889;2,341439893;0.42;Initial Stage;107;38;53;622;2.09;3;3.68
30.3;78.8;30,70%;5,574856889;2,341439893;0.42;Initial Stage;107;38;53;622;2.09;3;3.67
30.2;77.5;30,80%;5,586120798;2,346170735;0.42;Initial Stage;107;38;53;622;2.09;3;3.95
30.2;77.6;30,70%;0,558523956;2,345800615;0.42;Initial Stage;107;38;53;622;2.09;3;2.17
30.2;77.6;30,70%;0,558523956;2,345800615;0.42;Initial Stage;107;38;53;622;2.09;3;3.28
30.2;78.7;30,70%;5,575583169;2,341744931;0.42;Initial Stage;107;38;53;622;2.09;3;3.24
30.2;78.5;30,70%;5,577333833;0,234248021;0.42;Initial Stage;107;38;53;622;2.09;3;2.51
30.1;78.5;30,70%;5,577170944;2,342411796;0.42;Initial Stage;107;38;53;622;2.09;3;3.89
30.1;78.9;30,70%;5,573681818;2,340946363;0.42;Initial Stage;107;38;53;622;2.09;3;3.15
30.1;80.4;30,70%;0,556067572;2,335483802;0.42;Initial Stage;107;38;53;622;2.09;3;3.02
30.1;78.9;30,70%;5,573681818;2,340946363;0.42;Initial Stage;107;38;53;622;2.09;3;3.22
30;77.6;30,70%;5,584861597;2,345641871;0.42;Initial Stage;107;38;53;622;2.09;3;3.2
30;79.7;30,70%;0,556658975;2,337967695;0.42;Initial Stage;107;38;53;622;2.09;3;3.18
30;78.9;30,70%;5,573521736;2,340879129;0.42;Initial Stage;107;38;53;622;2.09;3;3.31
29.9;77.3;30,70%;5,587284838;2,346659632;0.42;Initial Stage;118;42;57;622;2.09;3;3.4
29.8;77;30,70%;5,589691125;2,347670273;0.42;Initial Stage;118;42;57;622;2.09;3;3.54
29.7;77.9;30,70%;5,581638803;2,344288297;0.42;Initial Stage;118;42;57;622;2.09;3;3.33
29.6;77.8;30,70%;5,582290113;2,344561847;0.42;Initial Stage;118;42;57;622;2.09;3;2.87
29.6;79.1;30,60%;0,557109354;2,339859287;0.42;Initial Stage;118;42;57;622;2.09;3;3.6
29.6;80.6;30,60%;5,558288136;2,334481017;0.42;Initial Stage;118;42;57;622;2.09;3;3.75
